ID;Text;Label
D1-0011;The compact form of the electroweak chiral Lagrangian is a reformulation of its original form and is expressed in terms of chiral rotated electroweak gauge fields, which is crucial for relating the information of underlying theories to the coefficients of the low-energy effective Lagrangian. However the compact form obtained in previous works is not complete. In this letter we add several new chiral invariant terms to it and discuss the contributions of these terms to the original electroweak chiral Lagrangian.;Human
D1-0012;"Non-inertial reference frames are accelerating frames of reference, such as a rotating carousel or a decelerating car. In these frames, objects appear to accelerate without a real force acting on them, leading to the introduction of ""fictitious forces"" or ""pseudo-forces"" to explain the observed motion. Examples include the centrifugal force felt when turning a corner or the Coriolis force affecting large-scale weather patterns. While useful for description within that specific frame, it's often simpler to analyze such problems from an inertial frame.";Meta
D1-0013;We explore the conductance of self-healing materials as a measure of the material integrity in the regime of the onset of the initial fatigue. Continuum effective-field modeling and lattice numerical simulations are reported. Our results illustrate the general features of the self-healing process: The onset of the material fatigue is delayed, by developing a plateau-like time-dependence of the material quality. We demonstrate that in this low-damage regime, the changes in the conductance and similar transport/response properties of the material can be used as measures of the material quality degradation.;Human
D1-0014;Covariance measures the extent to which two random variables change together. A positive covariance indicates that as one variable increases, the other tends to increase as well. A negative covariance implies that as one variable increases, the other tends to decrease. A covariance near zero suggests little to no linear relationship. However, the magnitude of covariance is not easily interpretable because it depends on the units of the variables. For this reason, it is often normalized to produce the correlation coefficient, which provides a standardized measure of linear association, overcoming the unit-dependency issue and enabling more direct comparisons across different datasets.;Meta
D1-0015;Popular density functionals for the exchange-correlation energy typically fail to reproduce the degeneracy of different ground states of open-shell atoms. As a remedy, functionals which explicitly depend on the current density have been suggested. We present an analysis of this problem by investigating functionals that explicitly depend on the Kohn-Sham orbitals. Going beyond the exact-exchange approximation by adding correlation in the form of the Colle-Salvetti functional we show how current-dependent terms enter the Colle-Salvetti expression and their relevance is evaluated. A very good description of the degeneracy of ground-states for atoms of the first and second row of the periodic table is obtained.;Human
D1-0016;Signal transduction is the process by which an extracellular signal is converted into a specific cellular response following the binding of a ligand to its receptor. G-protein coupled receptors are a major class of targets that utilize secondary messengers like cyclic adenosine monophosphate or inositol triphosphate to propagate signals. Once the receptor is activated, it undergoes a conformational change that allows it to interact with an intracellular G-protein. This interaction initiates a cascade of enzymatic activities that ultimately result in physiological changes, such as muscle contraction or gene expression. Modern pharmacology seeks to modulate these pathways with high specificity to treat various diseases;Google
D1-0017;Apoptosis is a form of programmed cell death that eliminates damaged or unnecessary cells. This controlled process involves activation of proteases known as caspases that dismantle cellular structures. Mitochondrial pathways release cytochrome c and initiate a cascade leading to DNA fragmentation and membrane blebbing. Unlike necrosis, apoptosis maintains membrane integrity and prevents inflammation. It plays critical roles in development, immune regulation, and tissue homeostasis. Dysregulation of apoptotic pathways can contribute to cancer progression, autoimmune diseases, and neurodegenerative disorders where abnormal cell survival or death occurs.;OpenAI
D1-0018;We introduce a convenient parametrization of dark energy models that is general enough to include several modified gravity models and generalized forms of dark energy. In particular we take into account the linear perturbation growth factor, the anisotropic stress and the modified Poisson equation. We discuss the sensitivity of large scale weak lensing surveys like the proposed DUNE satellite to these parameters. We find that a large-scale weak-lensing tomographic survey is able to easily distinguish the Dvali-Gabadadze-Porrati model from LCDM and to determine the perturbation growth index to an absolute error of 0.02-0.03.;Human
D1-0019;A ToO observation of the TeV-emitting blazar Mrk 421 with INTEGRAL was triggered in June 2006 by an increase of the RXTE count rate to more than 30 mCrab. The source was then observed with all INTEGRAL instruments with the exception of the spectrometer SPI for a total exposure of 829 ks. During this time several outbursts were observed by IBIS and JEM-X. Multiwavelength observations were immediately triggered and the source was observed at radio, optical and X-ray wavelengths up to TeV energies. The data obtained during these observations are analysed with respect to spectral evolution and correlated variability. Preliminary results of the analysis are presented in this poster.;Human
D1-0020;Environmental engineering integrates scientific principles with engineering design to protect public health and the environment. Civil environmental engineers design and manage systems for waste treatment, pollution control, and remediation of contaminated sites. This includes municipal wastewater treatment plants, industrial waste management facilities, and air pollution control technologies. Their work also extends to assessing environmental impacts of construction projects, promoting sustainable practices, and developing strategies for managing hazardous materials. The goal is to create healthier living conditions and preserve natural ecosystems for future generations by minimizing human impact.;Meta
D1-0021;Photometry is the science of measuring light in terms of its perceived brightness to the human eye. Unlike radiometry, which deals with absolute physical power, photometry takes into account the spectral sensitivity of human vision, specifically the photopic (daylight) response curve. Key photometric quantities include luminous flux (perceived power emitted), luminous intensity (perceived power per unit solid angle), illuminance (perceived power incident on a surface), and luminance (perceived power per unit area per unit solid angle). Photometry is essential in lighting design, display technology, and vision science.;Meta
D1-0022;The vertebrate kidney is a complex filtration organ responsible for maintaining blood composition and osmotic homeostasis through the production of urine. The functional unit of the kidney is the nephron, of which humans possess approximately one million per kidney. Blood is filtered under pressure through the glomerular capillaries into Bowman's capsule, producing a filtrate that is subsequently modified as it travels through the proximal tubule, loop of Henle, distal tubule, and collecting duct. Glucose, amino acids, and most ions are reabsorbed, while metabolic waste products including urea, creatinine, and excess ions are concentrated and excreted. Hormones including antidiuretic hormone and aldosterone precisely regulate water and sodium reabsorption in response to body fluid conditions.;Anthropic
D1-0023;Thermodynamic equilibrium is a state in which a system exhibits no net macroscopic changes over time, with all intensive thermodynamic variables being uniform throughout the system. A system in true thermodynamic equilibrium is simultaneously in thermal, mechanical, and chemical equilibrium. Achieving this state requires the absence of any driving forces such as temperature gradients, pressure differences, or chemical potential gradients. In practice, many systems operate far from equilibrium, giving rise to the rich and complex phenomena studied in nonequilibrium thermodynamics. Understanding the conditions and pathways through which systems approach equilibrium is essential in fields ranging from chemical engineering and materials processing to biological systems.;Anthropic
D1-0024;We investigate the effect of different mass of a Bose- and a Fermi-particle on the collective oscillations of the degenerate boson-fermion mixtures. In particular we consider the monopole and the quadrupole modes of the oscillations and study their characters and the frequencies by using variational-sum-rule approach. We find that for both the modes there exists a critical value of the ratio of boson-fermion mass below and above which the character and the frequency of the respective modes are significantly different.;Human
D1-0025;OH masers at 1720 MHz have proven to be excellent indicators of interactions between supernova remnants and molecular clouds. Recent calculations suggest that the 6049 MHz OH maser line is excited for higher column densities than for the 1720 MHz line. It is therefore a potentially valuable indicator of remnant-cloud interaction. We present preliminary results of a survey using the Parkes Methanol Multibeam receiver for 6049 MHz and 6035/6030 MHz OH masers towards 36 supernova remnants and 4 fields in the Large and Small Magellanic Clouds. While no 6049 MHz masers have been found, three new sites of 6035 and 6030 MHz OH maser emission have been discovered in star-forming regions.;Human
D1-0026;Soil ecology investigates the diverse community of organisms that inhabit soil environments and regulate critical ecosystem processes. Soil contains bacteria fungi protozoa nematodes arthropods and earthworms which interact in complex trophic networks. These organisms decompose organic matter releasing nutrients that plants require for growth. Mycorrhizal fungi form symbiotic relationships with plant roots increasing nutrient uptake while receiving carbohydrates in return. Soil structure also affects water retention aeration and root penetration. Human activities including intensive agriculture deforestation and pollution can degrade soil ecosystems reducing fertility and increasing erosion. Sustainable land management practices aim to preserve soil biodiversity and maintain ecosystem productivity.;OpenAI
D1-0027;Vaccination is one of the most successful applications of immunological principles in public health. Vaccines expose the immune system to harmless forms or components of pathogens allowing the development of protective immunity without causing disease. Following vaccination antigen specific B cells and T cells undergo clonal expansion and differentiation forming long lived memory populations. Upon subsequent exposure to the real pathogen these memory cells respond rapidly producing antibodies and effector cells that neutralize infection. Modern vaccine technologies include attenuated organisms inactivated pathogens recombinant proteins viral vectors and messenger RNA platforms each designed to stimulate robust and durable immune responses.;OpenAI
D1-0028;Carbon capture and utilization technologies can transform carbon dioxide captured from atmospheric or point-source emissions into valuable chemical feedstocks, fuels, and materials, closing the carbon cycle when powered by renewable electricity. Electrochemical reduction of carbon dioxide to formate, carbon monoxide, ethylene, and ethanol has been demonstrated using copper and other transition metal catalysts, though selectivity and energy efficiency require substantial improvement for commercial viability. Mineralization of carbon dioxide into stable carbonate minerals offers a permanent sequestration pathway with potential applications in building materials production, simultaneously addressing climate mitigation and construction material decarbonization goals. Coupling direct air capture with renewable-powered conversion represents a theoretically carbon-negative energy system capable of drawing down atmospheric carbon dioxide concentrations over time.;Anthropic
D1-0029;Retrosynthetic analysis is a problem-solving approach in organic synthesis in which a target molecule is mentally deconstructed into simpler precursor molecules by breaking bonds in a reverse synthetic direction. This disconnection approach, developed by E.J. Corey, uses retrosynthetic arrows to indicate the reverse of a synthetic transformation. The process identifies synthetic equivalents for reactive intermediates and exploits reliable and versatile carbon-carbon bond-forming reactions such as aldol condensations, Grignard additions, and Wittig reactions. Multi-step synthesis planning requires careful consideration of protecting group strategies to prevent unwanted reactions at sensitive functional groups while carrying out transformations at other sites in complex molecules.;Anthropic
D1-0030;Graphene nanoribbons are quasi-one-dimensional meterials with finite width. Characterizing a wide class of nanoribbons by edge shape and width, we make a systematic analysis of their electronic properties. The band gap structure of nanoribbons is shown to exhibit a valley structure with stream-like sequences of metallic or almost metallic nanoribbons. Among them, all zigzag nanoribbons are metallic, and armchair nanoribbons are metallic by period of 3. We find that these stream-like sequences correspond to equi-width curves, and that the band gap of chiral and armchair nanoribbons oscillate as a function of the width. Furthermore a possible application of nanoribbons to nanoelectronics is discussed.;Human
D1-0031;The concept of curvature in differential geometry quantifies how much a curve deviates from being a straight line or how much a surface deviates from being a flat plane. In calculus, curvature is calculated using the first and second derivatives of the function defining the curve. It is defined as the magnitude of the rate of change of the unit tangent vector with respect to arc length. High curvature indicates a sharp turn, while zero curvature represents a straight line. This measurement is essential in civil engineering for designing roads and in physics for describing the paths of objects in motion;Google
D1-0032;We study a simple model of a nematic liquid crystal made of parallel ellipsoidal particles interacting via a repulsive Gaussian law. After identifying the relevant solid phases of the system through a careful zero-temperature scrutiny of as many as eleven candidate crystal structures, we determine the melting temperature for various pressure values, also with the help of exact free energy calculations. Among the prominent features of this model are pressure-driven reentrant melting and the stabilization of a columnar phase for intermediate temperatures.;Human
D1-0033;Pumping of charge current by spin dynamics in the presence of the Rashba spin-orbit interaction is theoretically studied. Considering disordered electron, the exchange coupling and spin-orbit interactions are treated perturbatively. It is found that dominant current induced by the spin dynamics is interpreted as a consequence of the conversion from spin current via the inverse spin Hall effect. We also found that the current has an additional component from a fictitious conservative field. Results are applied to the case of moving domain wall.;Human
D1-0034;"White dwarfs are the dense, hot stellar cores left behind after low-to-medium mass stars have exhausted their nuclear fuel and shed their outer layers. They are typically about the size of Earth but contain roughly the mass of the Sun, making them incredibly dense. White dwarfs slowly cool down over billions of years, eventually becoming ""black dwarfs,"" although the universe is not old enough for any black dwarfs to have formed yet. They represent the final evolutionary stage for the majority of stars in the Milky Way, offering insights into stellar death and the long-term fate of stellar remnants";Meta
D1-0035;Environmental analytical chemistry addresses the detection, quantification, and monitoring of chemical contaminants and pollutants in air, water, soil, and biota. Analytical targets include heavy metals, pesticides, polycyclic aromatic hydrocarbons (PAHs), pharmaceuticals, endocrine disruptors, and microplastics. Regulatory frameworks such as the EU Water Framework Directive and US EPA standards demand rigorous method validation and quality assurance. Passive sampling devices concentrate trace contaminants over extended deployment periods, reflecting time-weighted average exposures. High-resolution mass spectrometry enables non-target screening, identifying unknown contaminants without a priori knowledge. Advances in field-portable instruments and sensor networks support real-time environmental surveillance and early warning systems for pollution events.;Anthropic
D1-0036;The Tracy-Widom distribution functions involve integrals of a Painlev\'e II function starting from positive infinity. In this paper, we express the Tracy-Widom distribution functions in terms of integrals starting from minus infinity. There are two consequences of these new representations. The first is the evaluation of the total integral of the Hastings-McLeod solution of the Painlev\'e II equation. The second is the evaluation of the constant term of the asymptotic expansions of the Tracy-Widom distribution functions as the distribution parameter approaches minus infinity. For the GUE Tracy-Widom distribution function, this gives an alternative proof of the recent work of Deift, Its, and Krasovsky. The constant terms for the GOE and GSE Tracy-Widom distribution functions are new.;Human
D1-0037;In 1948, W. Hoeffding introduced a large class of unbiased estimators called U-statistics, defined as the average value of a real-valued k-variate function h calculated at all possible sets of k points from a random sample. In the present paper we investigate the corresponding extreme value analogue, which we shall call U-max-statistics. We are concerned with the behavior of the largest value of such function h instead of its average. Examples of U-max-statistics are the diameter or the largest scalar product within a random sample. U-max-statistics of higher degrees are given by triameters and other metric invariants.;Human
D1-0038;Affine transformations extend linear transformations by adding a translation component which allows for the representation of rotations scales and shifts within a single framework. While a purely linear transformation must keep the origin fixed an affine transformation can map the origin to any other point in the space. This is achieved mathematically by using augmented matrices in homogeneous coordinates which is a standard technique in computer graphics and robotics. By treating points as vectors in a higher-dimensional space complex spatial movements can be computed using simple matrix multiplication. This unification simplifies the math behind rendering scenes and controlling robotic arms in three-dimensional environments;Google
D1-0039;Mechanisms of whispering-gallery (WG) modes coupling in microdisk photonic molecules (PMs) with slight and significant size mismatch are numerically investigated. The results reveal two different scenarios of modes interaction depending on the degree of this mismatch and offer new insight into how PM parameters can be tuned to control and modify WG-modes wavelengths and Q-factors. From a practical point of view, these findings offer a way to fabricate PM microlaser structures that exhibit low thresholds and directional emission, and at the same time are more tolerant to fabrication errors than previously explored coupled-cavity structures composed of identical microresonators.;Human
D1-0040;Ligaments are bands of fibrous connective tissue that connect bones to other bones, primarily functioning to stabilize joints and prevent excessive or unwanted movement. Like tendons, they are largely composed of collagen fibers, providing strength and flexibility. Ligaments play a crucial role in maintaining the structural integrity of the skeletal system, ensuring that bones remain properly aligned within a joint. Injuries to ligaments, such as sprains, can significantly impair joint stability and function, often requiring extensive recovery periods due to limited blood supply.;Meta
D1-0041;We consider an anisotropic brane world with Bianchi type I and V geometries where the mechanism of confining the matter on the brane is through the use of a confining potential. The resulting equations on the anisotropic brane are modified by an extra term that may be interpreted as the x-matter, providing a possible phenomenological explanation for the accelerated expansion of the universe. We obtain the general solution of the field equations in an exact parametric form for both Bianchi type I and V space-times. In the special case of a Bianchi type I the solutions of the field equations are obtained in an exact analytic form. Finally, we study the behavior of the observationally important parameters.;Human
D1-0042;The placebo effect is a psychological and physiological phenomenon where a patient experiences a perceived or actual improvement in their condition after receiving a sham treatment (a placebo) that has no intrinsic pharmacological activity. This effect is driven by expectations, conditioning, and the belief in the treatment. It highlights the profound connection between the mind and body in health and disease. In clinical trials, placebos are used as controls to differentiate the true pharmacological effects of a drug from the psychological effects of treatment. Understanding the placebo effect is crucial for interpreting clinical trial results and for appreciating the psychological components of patient care, underscoring the importance of patient-provider interactions.;Meta
D1-0043;Statistical mechanics provides the microscopic foundation for thermodynamics by connecting the behavior of individual atoms and molecules to macroscopic thermodynamic properties. Developed by Boltzmann, Gibbs, and Maxwell in the late 19th century, statistical mechanics uses probability theory to describe the distribution of particles across available energy states. The Boltzmann distribution gives the probability that a particle occupies a particular energy level at thermal equilibrium. From this microscopic framework, all macroscopic thermodynamic quantities such as temperature, pressure, entropy, and free energy can be rigorously derived, providing deep physical insight into the nature of heat and thermodynamic equilibrium.;Anthropic
D1-0044;The design of high-performance buildings incorporates passive solar strategies to minimize energy consumption for heating and cooling. This involves optimizing the orientation of the building to maximize winter solar gain and using shading devices to block excessive summer heat. Thermal mass such as concrete or masonry walls can be used to store heat during the day and release it at night to stabilize indoor temperatures. Civil engineers work with architects to integrate these features with efficient HVAC systems and high-quality insulation. Natural ventilation strategies are also used to improve indoor air quality and reduce the reliance on mechanical cooling. These holistic design approaches are essential for creating sustainable and comfortable living environments while reducing carbon emissions.;Google
D1-0045;We report on recent progress in the modelling of the near-IR spectra of young stellar populations, i.e. populations in which red supergiants (RSGs) are dominant. First, we discuss the determination of fundamental parameters of RSGs using fits to their near-IR spectra with new PHOENIX model spectra, RSG-specific surface abundances are accounted for and effects of the microturbulence parameter are explored. New population synthesis predictions are then described and, as an example, it is shown that the spectra of young star clusters in M82 can be reproduced very well from 0.5 to 2.4 micrometers. We warn of remaining uncertainties in cluster ages.;Human
D1-0046;It is outlined the possibility to extend the quantum formalism in relation to the requirements of the general systems theory. It can be done by using a quantum semantics arising from the deep logical structure of quantum theory. It is so possible taking into account the logical openness relationship between observer and system. We are going to show how considering the truth-values of quantum propositions within the context of the fuzzy sets is here more useful for systemics . In conclusion we propose an example of formal quantum coherence.;Human
D1-0047;The study of Pell’s equation, x² − Dy² = 1 for nonsquare integers D, is a classical problem in number theory concerning integer solutions. Solutions are generated by continued fractions of √D, revealing periodicity and fundamental units in quadratic fields. Applications include Diophantine approximation, algebraic number theory, and computational algorithms. Research explores minimal solutions, growth rates of sequences, and generalizations to higher-degree equations. Pell’s equation exemplifies the interplay between algebraic structures, continued fractions, and integer solutions, offering profound insights into quadratic forms, modular arithmetic, and the arithmetic of quadratic fields, demonstrating the depth and richness of classical number-theoretic investigations.;OpenAI
D1-0048;Principal Component Analysis (PCA) is a statistical procedure that uses an orthogonal transformation to convert a set of observations of possibly correlated variables into a set of linearly uncorrelated variables called principal components. These principal components are derived from the eigenvectors of the covariance matrix of the data, and their corresponding eigenvalues indicate the amount of variance explained. PCA is widely used for dimensionality reduction, data visualization, and noise filtering in high-dimensional datasets. It simplifies complex data by identifying the most important underlying patterns and relationships, making it easier to analyze and interpret.;Meta
D1-0049;Molecular evolution investigates how DNA and protein sequences change through time across different lineages. By comparing genetic sequences researchers can estimate evolutionary relationships and reconstruct ancestral states. Some genomic regions evolve rapidly due to weak functional constraints while others remain highly conserved because mutations disrupt essential biological processes. The rate at which mutations accumulate in particular genes can serve as a molecular clock for estimating divergence times among species. Advances in sequencing technology now allow entire genomes to be analyzed across populations. These data provide powerful insights into how mutation selection recombination and demographic history shape genetic diversity within and between species.;OpenAI
D1-0050;We formulate a general super duality conjecture on connections between parabolic categories O of modules over Lie superalgebras and Lie algebras of type A, based on a Fock space formalism of their Kazhdan-Lusztig theories which was initiated by Brundan. We show that the Brundan-Kazhdan-Lusztig (BKL) polynomials for Lie superalgebra gl(m|n) in our parabolic setup can be identified with the usual parabolic Kazhdan-Lusztig polynomials. We establish some special cases of the BKL conjecture on the parabolic category O of gl(m|n)-modules and additional results which support the BKL conjecture and super duality conjecture.;Human
D1-0051;Thermal management is a critical consideration in aerospace engineering, particularly for high-speed aircraft and spacecraft exposed to extreme temperatures. During atmospheric reentry, spacecraft experience heating from aerodynamic friction, requiring heat shields made from ablative or reusable thermal protection materials. Jet engines operate at elevated temperatures where turbine blades must resist creep and oxidation. Engineers employ computational thermal analysis to model heat transfer, conduction, and radiation in complex structures. Cooling systems, such as liquid-cooled or transpiration-cooled designs, ensure sensitive avionics and propulsion components remain operational. Advanced materials with high thermal conductivity or phase-change capabilities are increasingly used to maintain structural integrity and performance under transient thermal loads encountered during missions;OpenAI
D1-0052;Fluid dynamics, a subfield of classical mechanics, studies the motion of fluids (liquids and gases). It encompasses principles like Bernoulli's principle, which relates fluid velocity, pressure, and height, and Archimedes' principle, which describes buoyancy. Fluid dynamics is essential for understanding weather patterns, the flight of airplanes, blood flow in arteries, and the design of ships and submarines. It often involves complex mathematical models due to the continuous and deformable nature of fluids, offering a challenging yet rewarding area of study.;Meta
D1-0053;We determine the electronic structure of a graphene sheet on top of a lattice-matched hexagonal boron nitride (h-BN) substrate using ab initio density functional calculations. The most stable configuration has one carbon atom on top of a boron atom, the other centered above a BN ring. The resulting inequivalence of the two carbon sites leads to the opening of a gap of 53 meV at the Dirac points of graphene and to finite masses for the Dirac fermions. Alternative orientations of the graphene sheet on the BN substrate generate similar band gaps and masses. The band gap induced by the BN surface can greatly improve room temperature pinch-off characteristics of graphene-based field effect transistors.;Human
D1-0054;The Williamson ether synthesis is a reliable method for preparing ethers by reacting an organohalide with an alkoxide ion via an SN2 mechanism. The alkoxide which acts as the nucleophile is typically generated by treating an alcohol with a strong base like sodium hydride. This reaction works best with primary alkyl halides because secondary and tertiary halides are prone to undergo E2 elimination as a competing pathway due to the basicity of the alkoxide. This synthetic route allows for the production of both symmetrical and unsymmetrical ethers which are important as solvents and intermediates in chemical manufacturing. Careful selection of the substrate and nucleophile is necessary to maximize the yield of the desired ether product.;Google
D1-0055;Selberg's Trace Formula is a powerful identity in harmonic analysis and number theory that relates the eigenvalues of the Laplacian operator on a surface to the lengths of periodic geodesics on that surface. This formula provides a bridge between the spectral theory of operators and the geometric properties of space. In number theory it is used to study the distribution of eigenvalues of Maass forms and has deep connections to the Riemann zeta function and L-functions. The trace formula serves as a prototype for more general versions in the Langlands program which aim to connect representation theory of groups with the arithmetic of number fields.;Google
D1-0056;An optical prism is a transparent optical element with flat polished surfaces that refract light. At least two of the polished surfaces must have an angle between them. Prisms can be used to break light up into its constituent spectral colors to rotate the orientation of an image or to reflect light via total internal reflection. The most familiar type is the triangular prism which demonstrates dispersion. However there are many other types like Porro prisms used in binoculars and beam splitter prisms used in cameras to divide a single beam of light into two separate paths for different sensors;Google
D1-0057;A simple but general microscopic mechanism to understand the interplay between the electric and magnetic degrees of freedom is developed. Within this mechanism, the magnetic structure generates an electric current which induce an counterbalance electric current from the spin orbital coupling. When the magnetic structure is described by a single order parameter, the electric polarization is determined by the single spin orbital coupling parameter, and the material is predicted to be a half insulator. This mechanism provides a simple estimation of the value of ferroelectricity and sets a physical limitation as well.;Human
D1-0058;Software verification applies mathematical reasoning to establish that programs satisfy their formal specifications, providing stronger correctness assurances than testing alone. Model checking exhaustively explores the state space of finite-state systems, verifying temporal logic properties such as safety and liveness. The SPIN model checker and UPPAAL tool are widely deployed for concurrent protocol and real-time system verification. Deductive verification encodes program semantics and specifications as logical formulas and calls automated theorem provers or satisfiability modulo theories solvers to discharge verification conditions. The Coq and Isabelle proof assistants support interactive formalization of mathematics and programs, producing machine-checked certificates of correctness. Industrial applications include verified compilers, cryptographic protocol proofs, and OS kernel verification in the seL4 project.;Anthropic
D1-0059;We report CCD photometry and spectroscopy during 2006 outburst of the dwarf nova SDSS J102146.44+234926.3 (SDSS J1021). The photographic plates from the MAO, SAI and CrAO plate archives, which cover the position of the SDSS J1021, were inspected for the presence of previous outbursts. We also present the BVRcIc photometric calibration of 52 stars in SDSS J1021 vicinity, which have V-magnitude in the range of 11.21-17.23m and can serve as comparison stars. The large amplitude of the SDSS J1021 outburst of 7m, superhumps with a period below the ''period gap'', rebrightening during the declining stage of superoutburst, rarity of outbursts and obtained spectrum allow to classify this object as a WZ Sge type dwarf nova.;Human
D1-0060;Quantum bit commitment is a cryptographic protocol where one party can commit to a value in such a way that it remains hidden from others until they choose to reveal it, while also ensuring the value cannot be changed later. While early researchers hoped that quantum mechanics would make this protocol perfectly secure, it was later proven that unconditionally secure quantum bit commitment is impossible due to entanglement and the EPR paradox. However, by combining quantum techniques with certain physical assumptions, researchers can still create highly secure versions. This protocol is a building block for more complex quantum tasks, such as secure multi-party computation and electronic voting systems.;Google
D1-0061;I investigate superconducting states in a quasi-2D Holstein model using the dynamical cluster approximation (DCA). The effects of spatial fluctuations (non-local corrections) are examined and approximations neglecting and incorporating lowest-order vertex corrections are computed. The approximation is expected to be valid for electron-phonon couplings of less than the bandwidth. The phase diagram and superconducting order parameter are calculated. Effects which can only be attributed to theories beyond Migdal--Eliashberg theory are present. In particular, the order parameter shows momentum dependence on the Fermi-surface with a modulated form and s-wave order is suppressed at half-filling. The results are discussed in relation to Hohenberg's theorem and the BCS approximation.;Human
