ID,Text
D2-11,"Plate tectonics is the scientific theory that explains the movement of Earth’s lithospheric plates, which float on the semi-fluid asthenosphere beneath them. These plates constantly shift due to convection currents in the Earth’s mantle, leading to interactions at their boundaries. There are three main types of plate boundaries: divergent, where plates move apart (forming mid-ocean ridges); convergent, where they collide (creating mountains or subduction zones); and transform, where they slide past each other (causing earthquakes). Plate tectonics is responsible for earthquakes, volcanic activity, mountain formation, and continental drift. It also plays a crucial role in Earth’s climate regulation and geological evolution, shaping the planet’s surface over millions of years."
D2-12,"Developed from the 1950s through the 1970s, plate tectonics is the modern version of continental drift, a theory first proposed by scientist Alfred Wegener in 1912. Wegener didn't have an explanation for how continents could move around the planet, but researchers do now. Plate tectonics is the unifying theory of geology, said Nicholas van der Elst, a seismologist at Columbia University's Lamont-Doherty Earth Observatory in Palisades, New York. ""Before plate tectonics, people had to come up with explanations of the geologic features in their region that were unique to that particular region,"" Van der Elst said. ""Plate tectonics unified all these descriptions and said that you should be able to describe all geologic features."""
D2-13,"Introductory textbooks contrast Lamarckism with Charles Darwin's theory of evolution by natural selection. However, Darwin's book On the Origin of Species gave credence to the idea of heritable effects of use and disuse, as Lamarck had done, and his own concept of pangenesis similarly implied soft inheritance. Many researchers from the 1860s onwards attempted to find evidence for Lamarckian inheritance, but these have all been explained away,[4][5] either by other mechanisms such as genetic contamination or as fraud. August Weismann's experiment, considered definitive in its time, is now considered to have failed to disprove Lamarckism, as it did not address use and disuse. Later, Mendelian genetics supplanted the notion of inheritance of acquired traits´."
D2-14,"The first meaning of Lamarckism is the notion that acquired characters can or will be inherited. Jean Baptiste de Lamarck strongly promoted this idea, but it was not original to him.Footnote2 We discuss this notion of Lamarckism extensively below. A second strong theme in the writings of Lamarck, which he developed rather than originated, is the idea that evolution involves increasing complexity. Although later Lamarckians such as Herbert Spencer took up this idea, it has today grown beyond its Lamarckian associations, and is rarely associated specifically with the Lamarckian label. A third use of the Lamarckian label associates it with the emphasis on will, choice, anticipation, or volitional activity in the process of evolutionary change. "
D2-15,"Lamarck’s theory of evolution, proposed by Jean-Baptiste Lamarck in the early 19th century, suggested that organisms evolve through the inheritance of acquired characteristics. He believed that traits developed during an organism’s lifetime, due to use or disuse, could be passed on to offspring. For example, he theorized that giraffes developed long necks because they stretched to reach higher leaves, and this trait was inherited by their descendants. While his ideas were later disproven by modern genetics and Darwin’s theory of natural selection, Lamarck played a key role in early evolutionary thought. His work contributed to the understanding that species change over time, even though the mechanism he proposed was incorrect."
D2-16,"It remains to be seen whether or not epigenetics will actually have any significant impact as an evolutionary mechanism. The issue is that, so far, we have no evidence that epigenetic alterations can persist over evolutionarily relevant periods of time. The alterations in gene expression that occur in the offspring are wholly reversible, and while there are some examples where we see the changes linger over a handful of generations, most of the time they are erased by the time the affected offspring has its own offspring. Barring additional mutations (which is a Neo-Darwinian mechanism) there is no permanent alteration in the heritable information passed down to future generations in the long term."
D2-17,"Jean-Baptiste Lamarck's theory of evolution, proposed in the early 19th century, centers on two key principles: the law of use and disuse, and the inheritance of acquired characteristics. Lamarck suggested that organisms develop traits based on their needs, with frequently used body parts becoming stronger and enlarged, while unused parts atrophy. Crucially, he claimed these acquired modifications could be passed to offspring. His classic example described giraffes stretching to reach high leaves, gradually elongating their necks over generations. Lamarck also proposed that all organisms have an inherent drive toward increasing complexity. Though largely discredited by modern genetics—which shows acquired physical changes don't alter heritable DNA—his work represented an important early attempt to explain species adaptation and diversity."
D2-18,"Lamarck's theory of evolution, often called Lamarckism, proposed that organisms change over time primarily through two mechanisms. Firstly, the principle of 'use and disuse' stated that parts of an organism's body used more often would develop and strengthen, while those not used would weaken and shrink. Secondly, and critically, these 'acquired characteristics' - changes that an individual organism developed during its lifetime - were then passed on to its offspring. For example, he suggested that giraffes acquired long necks by stretching to reach higher leaves, and this acquired longer neck was subsequently inherited by the next generation, gradually leading to the species we see today. This idea contrasts sharply with Darwinian natural selection."
D2-19,"Lamarck's theory of evolution proposes that organisms can pass on characteristics they acquire during their lifetime to their offspring. He suggested that organisms have an innate drive to become more complex, and that they can develop new traits through use or disuse of body parts. For example, giraffes may have developed long necks by stretching to reach food, and then passed this trait on to their offspring. This theory was later challenged by Darwin's theory of natural selection, which emphasizes the role of environmental pressures in shaping the evolution of species over time, through a process of variation and adaptation."
D2-20,"The equation commonly called the Michaelis–Menten equation is sometimes attributed to other authors. However, although Victor Henri had derived the equation from the correct mechanism, and Adrian Brown before him had proposed the idea of enzyme saturation, it was Leonor Michaelis and Maud Menten who showed that this mechanism could also be deduced on the basis of an experimental approach that paid proper attention to pH and spontaneous changes in the product after formation in the enzyme-catalysed reaction. By using initial rates of reaction they avoided the complications due to substrate depletion, product accumulation and progressive inactivation of the enzyme that had made attempts to analyse complete time courses very difficult."
D2-21,"A system in a steady state condition is ordinarily one in which there is a continuous flow of matter and energy through it but where none of the rates or concentrations change with time. That is never the case in a typical enzyme kinetics experiment where you start with a solution of enzyme, substrate, and buffer and the reaction continues with steadily changing reaction rate, substrate concentration, and product concentration until it reaches an equilibrium and there is no longer any net reaction. That equilibrium is a very special case of steady state. However inside a cell there may be situations that persist for a while where, for example, a constant input of glucose transported into the cell. "
D2-22,"Michaelis-Menten kinetics, developed by Leonor Michaelis and Maud Menten in 1913, describes the rate of enzyme-catalyzed reactions involving single substrate transformation into products. The model mathematically relates reaction velocity to substrate concentration through a hyperbolic curve characterized by two key parameters: the maximum reaction rate (Vmax) when all enzyme is saturated, and the Michaelis constant (KM), which equals the substrate concentration at half-maximum velocity. This relationship is expressed by the equation: v = (Vmax[S])/(KM + [S]), where v is reaction velocity and [S] is substrate concentration At low substrate concentrations, the reaction is first-order with respect to substrate, while at high concentrations, it approaches zero-order kinetics as the enzyme becomes saturated."
D2-23,"Michaelis-Menten enzyme kinetics describes how enzymes catalyze reactions by forming an enzyme-substrate complex. It explains the relationship between substrate concentration and reaction rate using the Michaelis-Menten equation: V = V_max [S]/{K_m + [S]), where V is the reaction rate, Vₘₐₓ is the maximum velocity, [S] is the substrate concentration, and Kₘ (Michaelis constant) represents the substrate concentration at half Vₘₐₓ. A low Kₘ indicates high enzyme affinity for the substrate, while a high Kₘ suggests lower affinity. This model assumes steady-state conditions and is fundamental in understanding enzyme efficiency, inhibition, and drug design. However, it applies mainly to simple, single-substrate reactions and does not account for complex enzyme behaviors."
D2-24,"Enzyme kinetics is the study of the rates of enzyme-catalysed chemical reactions. In enzyme kinetics, the reaction rate is measured and the effects of varying the conditions of the reaction are investigated. Studying an enzyme's kinetics in this way can reveal the catalytic mechanism of this enzyme, its role in metabolism, how its activity is controlled, and how a drug or a modifier (inhibitor or activator) might affect the rate. An enzyme (E) is a protein molecule that serves as a biological catalyst to facilitate and accelerate a chemical reaction in the body. It does this through binding of another molecule, its substrate (S), which the enzyme acts upon to form the desired product."
D2-25,"Michaelis-Menten kinetics provides a foundational model describing the rate of enzyme-catalyzed reactions in relation to substrate concentration. It illustrates that at low substrate levels, the reaction rate increases linearly as more enzyme active sites bind substrate. However, as substrate concentration rises, the enzyme's active sites eventually become fully occupied. At this point, the reaction velocity reaches its maximum, known as Vmax, as the enzyme is working at its fastest possible rate. The model also introduces Km, the Michaelis constant, which represents the substrate concentration required to achieve half of Vmax. Km is inversely related to the enzyme's affinity for its substrate; a lower Km indicates a higher affinity. This framework is crucial for characterizing enzyme efficiency and substrate binding."
D2-26,"The H5N1 virus is a highly pathogenic strain of avian influenza (bird flu) that primarily affects birds but can infect humans and other animals. It was first detected in geese in China in 1996 and has since caused outbreaks in poultry worldwide. Human infections are rare but can be severe, with a high fatality rate, often due to respiratory complications. Transmission occurs mainly through direct contact with infected birds or contaminated environments, but human-to-human spread is very limited. Symptoms include fever, cough, sore throat, and severe pneumonia. Due to its potential to mutate and cause a pandemic, H5N1 is closely monitored by health organizations, and vaccines are being developed to counter its threat."
D2-27,"Ongoing outbreaks of H5N1 avian influenza in migratory waterfowl, domestic poultry, and humans in Asia during the summer of 2005 present a continuing, protean pandemic threat. We review the zoonotic source of highly pathogenic H5N1 viruses and their genesis from their natural reservoirs. The acquisition of novel traits, including lethality to waterfowl, ferrets, felids, and humans, indicates an expanding host range. The natural selection of nonpathogenic viruses from heterogeneous subpopulations cocirculating in ducks contributes to the spread of H5N1 in Asia. Transmission of highly pathogenic H5N1 from domestic poultry back to migratory waterfowl in western China has increased the geographic spread. The spread of H5N1 and its likely reintroduction to domestic poultry increase the need for good agricultural vaccines."
D2-28,"Since 2020, outbreaks of avian influenza subtype H5N1 have been occurring, with cases reported from every continent except Australia as of February 2025. Some species of wild aquatic birds act as natural asymptomatic carriers of a large variety of influenza A viruses, which can infect poultry, other bird species, mammals (including humans) if they come into close contact with infected feces or contaminated material, or by eating infected birds. In late 2023, H5N1 was discovered in the Antarctic for the first time, raising fears of imminent spread throughout the region, potentially leading to a ""catastrophic breeding failure"" among animals that had not previously been exposed to avian influenza viruses."
D2-29,"H5N1 is a highly pathogenic avian influenza virus that has been affecting numerous wild and domestic bird species worldwide over past decades. Since 1996, it has circulated in at least 23 countries, spreading from Europe to North America in late 2021 and to South America in 2022, where it devastated bird populations and marine mammals. The situation has become more concerning recently with H5N1 adapting to new mammalian hosts There have been several concerning reports in 2024 including the first H5N1-related human death in the United States, reported by the Louisiana Department of Health in 2025. Scientists consider H5N1 a strong contender to cause the next human influenza pandemic. The primary concern is the virus's ongoing adaptation to mammals."
D2-30,"Asian HPAI H5N1 was first detected in humans in 1997 during a poultry outbreak in Hong Kong and has since been detected in poultry and wild birds in more than 50 countries in Africa, Asia, Europe, and the Middle East. H5N1 is a type of influenza virus called avian influenza (or ""bird flu""). Human cases of avian influenza occur occasionally, viruses infect the respiratory tract of humans, causing severe illness (e.g. pneumonia and respiratory failure) and death in some people. Asian flu is most often contracted by contact with sick birds. It can also be passed from person to person. Symptoms begin within two to eight days, and can seem like the common flu."
D2-31,"A biological system in steady-state is one where the concentrations of its various components remain relatively constant over time, even though there is a continuous flow of energy and matter through the system. Unlike a system at thermodynamic equilibrium, a steady-state biological system is actively maintaining its conditions by constantly consuming energy to drive metabolic processes and counteract tendencies towards disorder. It's a dynamic non-equilibrium state where the rates of formation and breakdown (or input and output) for each component are balanced. For instance, a cell maintains stable internal pH or ion concentrations by continuously pumping ions across membranes or adjusting metabolic pathways, always expending energy to keep these crucial parameters within tight ranges vital for life."
D2-32,"A biological system in steady-state is a system where the rates of processes occurring within it are balanced, resulting in no net change over time. This means that the input and output of the system are equal, and the concentrations of the components remain constant. The system is not in equilibrium, as reactions are still occurring, but the forward and reverse rates are equal, maintaining a stable state. This balance allows the system to function optimally, and it can respond to changes in the environment without depleting its resources or accumulating waste products excessively. This is crucial for its survival."
D2-33,"Polyphenols are a diverse group of naturally occurring organic compounds found abundantly in plants, where they act as secondary metabolites. These fascinating molecules are responsible for the vibrant colors in many fruits and vegetables, and are plentiful in foods like berries, grapes, apples, tea, coffee, wine, and dark chocolate. In their plant hosts, polyphenols play crucial protective roles, shielding them from UV radiation, pathogens, and oxidative stress. For human health, they are highly valued for their potent antioxidant and anti-inflammatory properties. Consuming a diet rich in polyphenols is associated with numerous benefits, including a reduced risk of chronic conditions such as heart disease, type 2 diabetes, and certain cancers, by combating cellular damage and inflammation within the body."
D2-34,"Anthocyanins are a fascinating class of water-soluble pigments belonging to the flavonoid family, renowned for imbuing many fruits, vegetables, and flowers with their vibrant red, purple, and blue hues. Think of the deep color in blueberries, red cabbage, raspberries, or eggplant skins – that's often due to anthocyanins. Their relevance extends far beyond mere aesthetics; they play crucial roles both in nature and for human health. In plants, anthocyanins act as protective agents, shielding against environmental stressors like UV radiation, drought, and cold temperatures. For humans, these compounds are potent antioxidants and anti-inflammatory agents. Consuming anthocyanin-rich foods is associated with numerous health benefits, including improved cardiovascular health, enhanced cognitive function, and potential protection against certain chronic diseases."
D2-35,"Polyphenols are a group of naturally occurring compounds found in plants. They are characterized by their chemical structure and have been recognized for their potential health benefits. Polyphenols act as antioxidants, meaning they can help protect cells from damage caused by free radicals. Polyphenols have gained significant attention due to their potential antioxidant and anti-inflammatory effects. They can act as antioxidants by scavenging and neutralizing harmful free radicals in the body, thereby protecting cells from oxidative damage. Polyphenols are found in a wide variety of plant-based foods, including: Fruits: Berries (such as blueberries, strawberries, raspberries, and blackberries), cherries, grapes, apples, pears, citrus fruits (such as oranges, lemons, and grapefruits), pomegranates, and avocados."
D2-36,"The anthocyanins present in blackberries and raspberries are important for the beneficial health effects associated with their antioxidant, anti-inflammatory, and chemopreventative properties; the biological activity of black raspberry against esophageal, colon, and oral cancers has been demonstrated. It has long been established that cyanidin-3-glucoside and cyanidin-3-rutinoside are the respective major and minor anthocyanins in blackberries (Fan-Chiang and Wrolstad, 2005). It is also known that cyanidin-3-sambubioside, cyanidin-3-glucoside, cyanidin-3-xylosylrutinoside and cyanidin-3-rutinoside are commonly found in black raspberries. In addition to anthocyanins, these fruits are also a rich natural source of other chemopreventative phytochemicals such as flavonols, phenolic acids, ellagic acid, vitamins C and E, folic acid and β-sitosterol."
D2-37,"Anthocyanins are powerful pigments responsible for the red, purple, and blue colors of many fruits and vegetables. They are a type of flavonoid, a class of plant compounds known for their antioxidant properties. As antioxidants, anthocyanins help protect cells from damage caused by free radicals, which can contribute to various diseases. The presence of anthocyanins has been linked to several health benefits, including reducing inflammation and improving cardiovascular health. These pigments are also being studied for their potential role in preventing certain types of cancer and other diseases, making them a promising area of research."
D2-38,"Anthocyanins are found in the cell vacuole, mostly in flowers and fruits, but also in leaves, stems, and roots. In these parts, they are found predominantly in outer cell layers such as the epidermis and peripheral mesophyll cells. Most frequently occurring in nature are the glycosides of cyanidin, delphinidin, malvidin, pelargonidin, peonidin, and petunidin. Roughly 2% of all hydrocarbons fixed in photosynthesis are converted into flavonoids and their derivatives, such as the anthocyanins. Not all land plants contain anthocyanin; in the Caryophyllales (including cactus, beets, and amaranth), they are replaced by betalains. Anthocyanins and betalains have never been found in the same plant."
D2-39,"Anthocyanins are pigments belonging to the flavonoid family, responsible for the red, purple, and blue colors in many fruits, vegetables, and flowers. Found in berries, grapes, red cabbage, and black rice, they serve as antioxidants, helping to neutralize free radicals and reduce oxidative stress. Studies suggest anthocyanins may have potential health benefits, including anti-inflammatory, cardiovascular, neuroprotective, and anti-cancer properties. They may also support eye health, improve cognitive function, and help regulate blood sugar levels. Additionally, their natural pigmentation makes them useful as natural food colorants. Ongoing research explores their role in disease prevention and their potential applications in functional foods and pharmaceuticals."
D2-40,"Anthocyanins are water-soluble plant pigments belonging to the flavonoid family that create the vivid red, purple, and blue colors in fruits, vegetables, and flowers. Abundant in berries, grapes, red cabbage, and purple sweet potatoes, these compounds represent one of nature's most powerful antioxidant classes. Research indicates significant health-promoting potential, including anti-inflammatory, cardioprotective, and neuroprotective properties. Studies suggest anthocyanins may help manage diabetes by improving insulin sensitivity, reduce cancer risk through multiple mechanisms, and support vision health. Their pH-sensitive color-changing properties make them valuable as natural food colorants and pH indicators in various applications. The food industry increasingly uses anthocyanin-rich extracts as alternatives to synthetic dyes, while researchers continue exploring their pharmaceutical potential in preventing chronic diseases."
D2-41,"The evolutionary mechanisms that lead to codon reassignment and emergence of deviant codes are not thoroughly understood, but clearly they must involve changes in tRNA specificity or to the evolution of new specificities in the case of stop codon recruitment. Sengupta, Higgs, and coworkers  have captured these mechanisms within a gain and loss framework, where gain refers to acquisition of a new tRNA specificity, often following duplication of a tRNA gene, and loss refers to the elimination of a tRNA specificity, typically via deletion. There is no clear evidence that any modern code variants are associated with adaptation. Most likely, they emerge via neutral evolutionary processes, namely genetic drift and mutational pressure that drives small genomes toward low GC content."
D2-42,"The origin of the genetic code remains a fundamental question in evolutionary biology. It is believed to have emerged in early RNA-based life forms before the evolution of DNA and proteins. One theory suggests that the first genetic molecules were self-replicating RNA strands, which could both store information and catalyze chemical reactions. Over time, specific nucleotide sequences began coding for amino acids, leading to the formation of simple peptides. As natural selection favored more efficient protein synthesis, the code evolved into a triplet system to accommodate 20 amino acids. The universality of the genetic code suggests a common ancestor for all life, shaped by early biochemical constraints and evolutionary pressures."
D2-43,"Within cells, genetic information is stored in DNA molecules and RNA molecules. These molecules are made up of building blocks called nucleotides that are linked together in a chain. There are 4 kinds of nucleotide, with names beginning with letters A,C, T, and G. Messenger RNA is transcribed from sequences in the DNA called genes. Proteins are a different kind of molecule that is made of 20 different kinds of amino acid building blocks.
There is a molecular machine called a ribosome that uses a program consisting of a messenger RNA molecule. Sequences of 3 nucleotides encode one amino acid for that the ribosome puts together to make the protein. "
D2-44,"The emergence of the genetic code remains one of biology's greatest mysteries. The leading theory—the RNA world hypothesis—suggests that RNA initially served both as genetic material and catalyst before DNA and proteins evolved. Early protocells likely used simple nucleotide systems that gradually developed into more complex coding mechanisms. The modern code likely evolved through a process of chemical constraints, frozen accidents, and natural selection. Selection pressures would have favored error minimization, with similar amino acids often assigned to similar codons. The code's near-universality across all life forms suggests it emerged only once, about 3.5-4 billion years ago. Later refinements optimized the system, balancing robustness against mutations with translation efficiency."
D2-45,"The Solar System faces a dramatic future over billions of years. In approximately 5-7 billion years, our Sun will exhaust its hydrogen fuel and expand into a red giant, likely engulfing Mercury and Venus. Earth may either be consumed or rendered uninhabitable as oceans and atmosphere evaporate. The outer planets will survive but experience significant changes in temperature and orbital dynamics. Eventually, the Sun will shed its outer layers, creating a planetary nebula while its core collapses into a white dwarf star. This white dwarf will slowly cool over trillions of years, leaving our former solar neighborhood incredibly dim. Any surviving planets will orbit in perpetual darkness, frozen and lifeless."
D2-46,"The origin of angiosperms (flowering plants) represents what Charles Darwin famously called an ""abominable mystery"" due to their apparent sudden appearance and rapid diversification in the fossil record. Modern research combines multiple lines of evidence to address this evolutionary puzzle.
The fossil record shows unequivocal angiosperm evidence beginning in the Early Cretaceous (approximately 125-130 million years ago), with remarkably diverse forms appearing within 20-30 million years. Key early fossils include Archaefructus and Montsechia, with water lily relatives among the earliest documented flowering plants. Molecular evidence, however, suggests an earlier origin than fossils indicate. DNA-based phylogenies identify Amborella, water lilies, and Austrobaileyales as the earliest-diverging lineages. Molecular clock analyses often place angiosperm origins in the Jurassic period (145-201 million years ago)."
D2-47,"Molecular data on relationships within angiosperms confirm the view that their increasing morphological diversity through the Cretaceous reflected their evolutionary radiation. Despite the early appearance of aquatics and groups with simple flowers, the record is consistent with inferences from molecular trees that the first angiosperms were woody plants with pinnately veined leaves, multiparted flowers, uniovulate ascidiate carpels, and columellar monosulcate pollen. Molecular data appear to refute the hypothesis based on morphology that angiosperms and Gnetales are closest living relatives. Morphological analyses of living and fossil seed plants that assume molecular relationships identify glossopterids, Bennettitales, and Caytonia as angiosperm relatives; these results are consistent with proposed homologies between the cupule of glossopterids and Caytonia and the angiosperm bitegmic ovule. "
D2-48,"Schrödinger's cat is a famous thought experiment proposed by physicist Erwin Schrödinger in 1935 to illustrate the apparent paradoxes of quantum mechanics. It involves a hypothetical scenario where a cat is placed in a sealed box with a radioactive atom, a Geiger counter, and a poison mechanism. If the radioactive atom decays (a random quantum event), the poison is released, killing the cat. According to quantum mechanics, until observed, the radioactive atom exists in a superposition of both decayed and undecayed states. This implies the cat would be simultaneously both alive and dead until someone opens the box to check. The experiment highlights the disconnect between quantum mechanical principles and our everyday experience of reality, challenging our understanding of observation."
D2-49,"Schrödinger's cat is a famous thought experiment designed to illustrate the paradox of quantum superposition when applied to the macroscopic world. Imagine a cat sealed in a box with a device containing a single radioactive atom, which has a 50% chance of decaying within an hour. If the atom decays, it triggers a hammer to break a vial of poison, killing the cat. According to quantum mechanics, until observed, the atom is simultaneously in a state of having decayed and not decayed. This implies, counter-intuitively, that the cat inside the box is both alive and dead at the same time."
D2-50,"The Schrodringer cat experiment is a thought-provoking concept in quantum mechanics, where a cat is placed in a box with a radioactive atom that has a 50% chance of decaying within a certain time frame. If it decays, a poison is released, killing the cat. According to quantum mechanics, the cat is both alive and dead until observed, highlighting the paradoxical nature of superposition. This experiment illustrates the strange implications of applying quantum principles to macroscopic objects, sparking debates about reality and observation, and remains a fundamental concept in understanding the principles of quantum mechanics."
D2-51,"The overwhelming primary cause of lung cancer is smoking, accounting for approximately 80-90% of all cases. Tobacco smoke contains thousands of toxic chemicals, many of which are potent carcinogens that damage lung cells, leading to uncontrolled growth. Prolonged exposure to secondhand smoke also significantly increases the risk for non-smokers. Beyond tobacco, exposure to radon gas, a naturally occurring radioactive gas that can accumulate in homes, is the second leading cause. Other significant factors include occupational exposure to substances like asbestos, uranium, chromium, and nickel, as well as long-term inhalation of severe air pollution. While less common, a family history of lung cancer and previous radiation therapy to the chest can also contribute to an individual's risk"
D2-52,"The Michaelis Menten enzyme kinetics is a model that describes the rate of enzymatic reactions. It proposes that the reaction rate is directly proportional to the enzyme concentration and the substrate concentration, but only up to a certain point. As the substrate concentration increases, the enzyme becomes saturated and the reaction rate reaches its maximum velocity. This model is often used to understand how enzymes work and how they can be inhibited or activated, and it is a fundamental concept in biochemistry and molecular biology, helping to explain the complex interactions between enzymes and their substrates."
D2-53,"The main cause of lung cancer is tobacco smoking, which is responsible for the majority of cases, as it damages the cells in the lungs and increases the risk of tumor formation. Exposure to secondhand smoke and air pollution also contributes to the development of lung cancer. Additionally, inhalation of carcinogenic substances such as asbestos, radon, and certain chemicals can increase the risk of lung cancer. Genetic mutations and a family history of the disease can also play a role in the development of lung cancer, making it a complex and multifactorial disease. Smoking remains the leading cause."
D2-54,"The main causes of lung cancer are primarily linked to smoking and environmental exposures. Tobacco smoking is the leading cause, responsible for about 85% of cases, as the harmful chemicals in smoke damage DNA in lung cells. Secondhand smoke is also a significant risk factor. Another major cause is exposure to radon gas, a naturally occurring radioactive substance that can accumulate in buildings. Occupational exposures to substances like asbestos, arsenic, and diesel exhaust also increase the risk, particularly in certain industries. Additionally, genetic factors and family history can make some individuals more susceptible, while air pollution and poor air quality further contribute to the development of lung cancer."
D2-55,"Einstein and Schrödinger exchanged significant ideas throughout their careers. Both physicists shared deep skepticism about the Copenhagen interpretation of quantum mechanics, maintaining a correspondence that revealed their mutual discomfort with quantum indeterminism. Einstein's famous quote, ""God does not play dice with the universe,"" echoed Schrödinger's own reservations. Their intellectual relationship flourished through letters and occasional meetings, where they discussed unified field theory and the philosophical implications of quantum mechanics. Schrödinger's cat thought experiment partially emerged from these discussions, attempting to illustrate what both considered absurdities in quantum theory. Though they never resolved their concerns about quantum mechanics, their dialogue represented one of the most profound scientific exchanges of the 20th century, challenging mainstream quantum interpretations while searching for deeper truths."
